,id,station,name,date,prcp
0,1,USC00519397,"WAIKIKI 717.2, HI US",2010-01-01,0.08
1,2,USC00519397,"WAIKIKI 717.2, HI US",2010-01-02,0.0
2,3,USC00519397,"WAIKIKI 717.2, HI US",2010-01-03,0.0
3,4,USC00519397,"WAIKIKI 717.2, HI US",2010-01-04,0.0
4,5,USC00519397,"WAIKIKI 717.2, HI US",2010-01-06,0.0
5,6,USC00519397,"WAIKIKI 717.2, HI US",2010-01-07,0.06
6,7,USC00519397,"WAIKIKI 717.2, HI US",2010-01-08,0.0
7,8,USC00519397,"WAIKIKI 717.2, HI US",2010-01-09,0.0
8,9,USC00519397,"WAIKIKI 717.2, HI US",2010-01-10,0.0
9,10,USC00519397,"WAIKIKI 717.2, HI US",2010-01-11,0.01
10,11,USC00519397,"WAIKIKI 717.2, HI US",2010-01-12,0.0
11,12,USC00519397,"WAIKIKI 717.2, HI US",2010-01-14,0.0
12,13,USC00519397,"WAIKIKI 717.2, HI US",2010-01-15,0.0
13,14,USC00519397,"WAIKIKI 717.2, HI US",2010-01-16,0.0
14,15,USC00519397,"WAIKIKI 717.2, HI US",2010-01-17,0.0
15,16,USC00519397,"WAIKIKI 717.2, HI US",2010-01-18,0.0
16,17,USC00519397,"WAIKIKI 717.2, HI US",2010-01-19,0.0
17,18,USC00519397,"WAIKIKI 717.2, HI US",2010-01-20,0.0
18,19,USC00519397,"WAIKIKI 717.2, HI US",2010-01-21,0.0
19,20,USC00519397,"WAIKIKI 717.2, HI US",2010-01-22,0.0
20,21,USC00519397,"WAIKIKI 717.2, HI US",2010-01-23,0.0
21,22,USC00519397,"WAIKIKI 717.2, HI US",2010-01-24,0.01
22,23,USC00519397,"WAIKIKI 717.2, HI US",2010-01-25,0.0
23,24,USC00519397,"WAIKIKI 717.2, HI US",2010-01-26,0.04
24,25,USC00519397,"WAIKIKI 717.2, HI US",2010-01-27,0.12
25,26,USC00519397,"WAIKIKI 717.2, HI US",2010-01-28,0.0
26,27,USC00519397,"WAIKIKI 717.2, HI US",2010-01-30,0.0
27,28,USC00519397,"WAIKIKI 717.2, HI US",2010-01-31,0.03
28,29,USC00519397,"WAIKIKI 717.2, HI US",2010-02-01,0.01
29,30,USC00519397,"WAIKIKI 717.2, HI US",2010-02-03,0.0
30,31,USC00519397,"WAIKIKI 717.2, HI US",2010-02-04,0.01
31,32,USC00519397,"WAIKIKI 717.2, HI US",2010-02-05,0.0
32,33,USC00519397,"WAIKIKI 717.2, HI US",2010-02-06,0.0
33,34,USC00519397,"WAIKIKI 717.2, HI US",2010-02-07,0.0
34,35,USC00519397,"WAIKIKI 717.2, HI US",2010-02-08,0.0
35,36,USC00519397,"WAIKIKI 717.2, HI US",2010-02-09,0.0
36,37,USC00519397,"WAIKIKI 717.2, HI US",2010-02-11,0.0
37,38,USC00519397,"WAIKIKI 717.2, HI US",2010-02-12,0.02
38,39,USC00519397,"WAIKIKI 717.2, HI US",2010-02-13,0.01
39,40,USC00519397,"WAIKIKI 717.2, HI US",2010-02-14,0.0
40,41,USC00519397,"WAIKIKI 717.2, HI US",2010-02-15,0.0
41,42,USC00519397,"WAIKIKI 717.2, HI US",2010-02-16,0.0
42,43,USC00519397,"WAIKIKI 717.2, HI US",2010-02-17,0.0
43,44,USC00519397,"WAIKIKI 717.2, HI US",2010-02-19,0.0
44,45,USC00519397,"WAIKIKI 717.2, HI US",2010-02-20,0.03
45,46,USC00519397,"WAIKIKI 717.2, HI US",2010-02-21,0.0
46,47,USC00519397,"WAIKIKI 717.2, HI US",2010-02-22,0.0
47,48,USC00519397,"WAIKIKI 717.2, HI US",2010-02-23,0.0
48,49,USC00519397,"WAIKIKI 717.2, HI US",2010-02-24,0.0
49,50,USC00519397,"WAIKIKI 717.2, HI US",2010-02-25,0.0
50,51,USC00519397,"WAIKIKI 717.2, HI US",2010-02-26,0.0
51,52,USC00519397,"WAIKIKI 717.2, HI US",2010-02-28,0.0
52,53,USC00519397,"WAIKIKI 717.2, HI US",2010-03-01,0.01
53,54,USC00519397,"WAIKIKI 717.2, HI US",2010-03-02,0.0
54,55,USC00519397,"WAIKIKI 717.2, HI US",2010-03-03,0.0
55,56,USC00519397,"WAIKIKI 717.2, HI US",2010-03-04,0.12
56,57,USC00519397,"WAIKIKI 717.2, HI US",2010-03-05,0.08
57,58,USC00519397,"WAIKIKI 717.2, HI US",2010-03-06,0.03
58,59,USC00519397,"WAIKIKI 717.2, HI US",2010-03-07,0.0
59,60,USC00519397,"WAIKIKI 717.2, HI US",2010-03-08,0.43
60,61,USC00519397,"WAIKIKI 717.2, HI US",2010-03-09,0.06
61,62,USC00519397,"WAIKIKI 717.2, HI US",2010-03-11,0.0
62,63,USC00519397,"WAIKIKI 717.2, HI US",2010-03-12,0.0
63,64,USC00519397,"WAIKIKI 717.2, HI US",2010-03-13,0.0
64,65,USC00519397,"WAIKIKI 717.2, HI US",2010-03-14,0.0
65,66,USC00519397,"WAIKIKI 717.2, HI US",2010-03-15,0.06
66,67,USC00519397,"WAIKIKI 717.2, HI US",2010-03-17,0.0
67,68,USC00519397,"WAIKIKI 717.2, HI US",2010-03-18,0.0
68,69,USC00519397,"WAIKIKI 717.2, HI US",2010-03-21,0.0
69,70,USC00519397,"WAIKIKI 717.2, HI US",2010-03-22,0.0
70,71,USC00519397,"WAIKIKI 717.2, HI US",2010-03-23,0.0
71,72,USC00519397,"WAIKIKI 717.2, HI US",2010-03-24,0.0
72,73,USC00519397,"WAIKIKI 717.2, HI US",2010-03-26,0.0
73,74,USC00519397,"WAIKIKI 717.2, HI US",2010-03-27,0.0
74,75,USC00519397,"WAIKIKI 717.2, HI US",2010-03-28,0.0
75,76,USC00519397,"WAIKIKI 717.2, HI US",2010-03-29,0.0
76,77,USC00519397,"WAIKIKI 717.2, HI US",2010-03-30,0.0
77,78,USC00519397,"WAIKIKI 717.2, HI US",2010-03-31,0.0
78,79,USC00519397,"WAIKIKI 717.2, HI US",2010-04-01,0.0
79,80,USC00519397,"WAIKIKI 717.2, HI US",2010-04-02,0.01
80,81,USC00519397,"WAIKIKI 717.2, HI US",2010-04-03,0.17
81,82,USC00519397,"WAIKIKI 717.2, HI US",2010-04-04,0.15
82,83,USC00519397,"WAIKIKI 717.2, HI US",2010-04-05,0.27
83,84,USC00519397,"WAIKIKI 717.2, HI US",2010-04-06,0.01
84,85,USC00519397,"WAIKIKI 717.2, HI US",2010-04-08,0.0
85,86,USC00519397,"WAIKIKI 717.2, HI US",2010-04-09,0.01
86,87,USC00519397,"WAIKIKI 717.2, HI US",2010-04-10,0.0
87,88,USC00519397,"WAIKIKI 717.2, HI US",2010-04-11,0.01
88,89,USC00519397,"WAIKIKI 717.2, HI US",2010-04-12,0.01
89,90,USC00519397,"WAIKIKI 717.2, HI US",2010-04-13,0.0
90,91,USC00519397,"WAIKIKI 717.2, HI US",2010-04-15,0.0
91,92,USC00519397,"WAIKIKI 717.2, HI US",2010-04-16,0.01
92,93,USC00519397,"WAIKIKI 717.2, HI US",2010-04-17,0.0
93,94,USC00519397,"WAIKIKI 717.2, HI US",2010-04-18,0.0
94,95,USC00519397,"WAIKIKI 717.2, HI US",2010-04-19,0.0
95,96,USC00519397,"WAIKIKI 717.2, HI US",2010-04-20,0.04
96,97,USC00519397,"WAIKIKI 717.2, HI US",2010-04-21,0.01
97,98,USC00519397,"WAIKIKI 717.2, HI US",2010-04-22,0.0
98,99,USC00519397,"WAIKIKI 717.2, HI US",2010-04-23,0.02
99,100,USC00519397,"WAIKIKI 717.2, HI US",2010-04-24,0.0
100,101,USC00519397,"WAIKIKI 717.2, HI US",2010-04-25,0.0
101,102,USC00519397,"WAIKIKI 717.2, HI US",2010-04-26,0.0
102,103,USC00519397,"WAIKIKI 717.2, HI US",2010-04-28,0.0
103,104,USC00519397,"WAIKIKI 717.2, HI US",2010-04-30,0.0
104,105,USC00519397,"WAIKIKI 717.2, HI US",2010-05-01,0.0
105,106,USC00519397,"WAIKIKI 717.2, HI US",2010-05-02,0.03
106,107,USC00519397,"WAIKIKI 717.2, HI US",2010-05-03,0.2
107,108,USC00519397,"WAIKIKI 717.2, HI US",2010-05-04,0.08
108,109,USC00519397,"WAIKIKI 717.2, HI US",2010-05-05,0.01
109,110,USC00519397,"WAIKIKI 717.2, HI US",2010-05-06,0.0
110,111,USC00519397,"WAIKIKI 717.2, HI US",2010-05-07,0.05
111,112,USC00519397,"WAIKIKI 717.2, HI US",2010-05-08,0.0
112,113,USC00519397,"WAIKIKI 717.2, HI US",2010-05-09,0.0
113,114,USC00519397,"WAIKIKI 717.2, HI US",2010-05-10,0.0
114,115,USC00519397,"WAIKIKI 717.2, HI US",2010-05-11,0.0
115,116,USC00519397,"WAIKIKI 717.2, HI US",2010-05-13,0.0
116,117,USC00519397,"WAIKIKI 717.2, HI US",2010-05-14,0.0
117,118,USC00519397,"WAIKIKI 717.2, HI US",2010-05-15,0.0
118,119,USC00519397,"WAIKIKI 717.2, HI US",2010-05-16,0.03
119,120,USC00519397,"WAIKIKI 717.2, HI US",2010-05-17,0.0
120,121,USC00519397,"WAIKIKI 717.2, HI US",2010-05-18,0.0
121,122,USC00519397,"WAIKIKI 717.2, HI US",2010-05-19,0.0
122,123,USC00519397,"WAIKIKI 717.2, HI US",2010-05-21,0.0
123,124,USC00519397,"WAIKIKI 717.2, HI US",2010-05-22,0.0
124,125,USC00519397,"WAIKIKI 717.2, HI US",2010-05-23,0.05
125,126,USC00519397,"WAIKIKI 717.2, HI US",2010-05-24,0.0
126,127,USC00519397,"WAIKIKI 717.2, HI US",2010-05-25,0.0
127,128,USC00519397,"WAIKIKI 717.2, HI US",2010-05-26,0.02
128,129,USC00519397,"WAIKIKI 717.2, HI US",2010-05-27,0.0
129,130,USC00519397,"WAIKIKI 717.2, HI US",2010-05-28,0.0
130,131,USC00519397,"WAIKIKI 717.2, HI US",2010-05-29,0.0
131,132,USC00519397,"WAIKIKI 717.2, HI US",2010-05-30,0.0
132,133,USC00519397,"WAIKIKI 717.2, HI US",2010-05-31,0.0
133,134,USC00519397,"WAIKIKI 717.2, HI US",2010-06-01,0.0
134,135,USC00519397,"WAIKIKI 717.2, HI US",2010-06-02,0.01
135,136,USC00519397,"WAIKIKI 717.2, HI US",2010-06-03,0.0
136,137,USC00519397,"WAIKIKI 717.2, HI US",2010-06-04,0.0
137,138,USC00519397,"WAIKIKI 717.2, HI US",2010-06-05,0.0
138,139,USC00519397,"WAIKIKI 717.2, HI US",2010-06-06,0.0
139,140,USC00519397,"WAIKIKI 717.2, HI US",2010-06-07,0.0
140,141,USC00519397,"WAIKIKI 717.2, HI US",2010-06-08,0.0
141,142,USC00519397,"WAIKIKI 717.2, HI US",2010-06-09,0.0
142,143,USC00519397,"WAIKIKI 717.2, HI US",2010-06-10,0.0
143,144,USC00519397,"WAIKIKI 717.2, HI US",2010-06-11,0.0
